Date,Client,Product,Quantity,Revenue
2026-02-19,Client D,Product 5,,2014
2026-03-24,Client H,Product 5,2.0,4122
2026-03-02,Client H,Product 5,20.0,1028
2026-03-30,Client A,Product 5,46.0,1696
2026-03-30,Client C,Product 3,,415
2026-01-02,Client E,Product 4,38.0,3920
2026-02-07,Client G,Product 1,38.0,1012
2026-03-10,Client A,Product 5,6.0,2324
2026-03-15,Client I,Product 2,48.0,2307
2026-01-19,Client J,Product 3,8.0,420
2026-02-13,Client A,Product 5,40.0,1517
2026-02-03,Client C,Product 2,33.0,3049
2026-03-19,Client C,Product 2,25.0,3522
2026-03-23,Client G,Product 5,29.0,4558
2026-02-21,Client D,Product 4,6.0,869
2026-02-02,Client A,Product 1,13.0,1744
2026-02-23,Client B,Product 4,11.0,941
2026-01-31,Client C,Product 5,35.0,2930
2026-01-17,Client H,Product 4,10.0,4592
2026-03-12,Client E,Product 3,46.0,4978
2026-02-22,Client G,Product 3,20.0,779
2026-03-25,Client D,Product 3,38.0,371
2026-02-11,Client A,Product 4,33.0,4886
2026-01-29,Client C,Product 3,3.0,914
2026-01-26,Client J,Product 3,49.0,1942
2026-01-31,Client C,Product 5,35.0,2930
2026-01-22,Client A,Product 3,33.0,4791
2026-02-18,Client H,Product 2,27.0,3742
2026-01-25,Client C,Product 5,11.0,3640
2026-01-08,Client J,Product 3,12.0,4208
2026-03-13,Client J,Product 5,47.0,3240
2026-01-19,Client C,Product 2,21.0,588
2026-02-17,Client A,Product 4,36.0,4461
2026-01-18,Client B,Product 3,9.0,4717
2026-01-13,Client G,Product 3,30.0,566
2026-01-01,Client C,Product 5,7.0,1621
2026-01-03,Client H,Product 3,36.0,1526
2026-01-24,Client E,Product 5,18.0,3481
2026-03-21,Client F,Product 4,31.0,220
2026-02-12,Client A,Product 5,9.0,458
2026-02-13,Client J,Product 1,7.0,4797
2026-02-03,Client B,Product 1,26.0,1624
2026-02-15,Client G,Product 2,18.0,440
2026-01-10,Client B,Product 1,39.0,677
2026-02-19,Client G,Product 1,30.0,4932
2026-02-22,Client C,Product 4,33.0,2205
2026-01-09,Client J,Product 4,33.0,1949
2026-01-04,Client B,Product 5,26.0,525
2026-02-08,Client D,Product 2,16.0,3836
2026-02-05,Client J,Product 1,30.0,3867
2026-01-11,Client A,Product 5,,1734
2026-01-27,Client H,Product 1,1.0,2149
2026-02-23,Client F,Product 3,43.0,1591
2026-03-25,Client D,Product 1,18.0,935
2026-02-21,Client B,Product 3,13.0,518
2026-02-19,Client A,Product 1,45.0,2867
2026-02-04,Client E,Product 1,31.0,2750
2026-01-19,Client A,Product 4,24.0,3069
2026-01-08,Client I,Product 3,8.0,4062
2026-01-12,Client J,Product 5,15.0,3392
2026-01-13,Client H,Product 5,22.0,3538
2026-01-31,Client G,Product 1,14.0,3312
2026-02-24,Client A,Product 3,23.0,2366
2026-02-26,Client F,Product 4,36.0,3853
2026-03-30,Client H,Product 2,40.0,4207
2026-02-02,Client B,Product 3,11.0,3813
2026-02-10,Client A,Product 1,47.0,3425
2026-01-29,Client H,Product 1,18.0,155
2026-02-17,Client D,Product 2,37.0,2819
2026-01-22,Client D,Product 2,9.0,2499
2026-03-05,Client E,Product 1,8.0,1329
2026-02-15,Client E,Product 5,3.0,1706
2026-01-29,Client C,Product 1,31.0,1344
2026-02-27,Client H,Product 3,11.0,1967
2026-02-22,Client F,Product 4,13.0,3550
2026-01-28,Client D,Product 2,11.0,1162
2026-03-04,Client I,Product 4,,3234
2026-01-30,Client E,Product 2,33.0,2946
2026-03-06,Client D,Product 1,44.0,3310
2026-02-18,Client E,Product 5,40.0,2106
2026-03-24,Client I,Product 2,40.0,2207
2026-02-28,Client I,Product 1,27.0,3230
2026-01-10,Client E,Product 4,28.0,1112
2026-02-06,Client G,Product 3,17.0,582
2026-03-31,Client C,Product 2,35.0,1418
2026-01-16,Client H,Product 1,41.0,367
2026-01-23,Client H,Product 3,35.0,3868
2026-01-01,Client H,Product 4,40.0,3022
2026-01-26,Client D,Product 5,18.0,3783
2026-03-12,Client C,Product 4,46.0,2443
2026-02-10,Client H,Product 3,26.0,1865
2026-03-27,Client F,Product 1,29.0,4876
2026-03-19,Client E,Product 2,20.0,2144
2026-02-16,Client D,Product 5,37.0,3225
2026-01-08,Client I,Product 3,8.0,4062
2026-02-06,Client H,Product 2,24.0,4088
2026-02-22,Client D,Product 3,16.0,1642
2026-02-12,Client C,Product 4,1.0,4036
2026-01-24,Client C,Product 4,22.0,1081
2026-01-31,Client D,Product 5,12.0,4857
2026-02-16,Client E,Product 1,21.0,3028
2026-03-07,Client C,Product 4,20.0,1372
2026-01-19,Client E,Product 2,34.0,1541
2026-02-27,Client C,Product 4,23.0,4351
2026-02-19,Client D,Product 1,41.0,3634
2026-01-07,Client H,Product 2,27.0,2318
2026-03-09,Client I,Product 4,14.0,2408
2026-03-13,Client I,Product 5,5.0,4110
2026-03-18,Client F,Product 4,22.0,2081
2026-02-01,Client A,Product 3,10.0,2369
2026-01-10,Client I,Product 3,3.0,4556
2026-03-05,Client E,Product 5,4.0,3719
2026-03-04,Client H,Product 1,2.0,4305
2026-03-17,Client D,Product 4,4.0,2432
2026-01-11,Client B,Product 3,15.0,4285
2026-02-19,Client J,Product 1,14.0,4805
2026-01-15,Client A,Product 4,27.0,2120
2026-03-25,Client I,Product 5,,3300
2026-03-16,Client J,Product 5,21.0,1210
2026-03-16,Client G,Product 3,31.0,3459
2026-03-28,Client A,Product 4,21.0,2034
2026-01-14,Client J,Product 1,36.0,2542
2026-01-27,Client H,Product 3,13.0,3274
2026-02-07,Client E,Product 2,20.0,4475
2026-02-12,Client G,Product 4,20.0,429
2026-01-29,Client E,Product 1,27.0,3908
2026-01-11,Client C,Product 1,30.0,1237
2026-02-01,Client A,Product 2,46.0,3872
2026-03-29,Client A,Product 4,27.0,2427
2026-01-19,Client E,Product 1,31.0,3374
2026-03-06,Client C,Product 2,35.0,2960
2026-02-04,Client E,Product 2,41.0,2374
2026-01-04,Client I,Product 1,29.0,3966
2026-01-31,Client A,Product 1,38.0,993
2026-01-03,Client A,Product 5,28.0,722
2026-01-08,Client E,Product 5,15.0,2891
2026-02-19,Client D,Product 2,26.0,859
2026-03-10,Client G,Product 3,29.0,4458
2026-03-19,Client G,Product 2,44.0,2653
2026-01-10,Client A,Product 2,41.0,197
2026-03-16,Client G,Product 4,47.0,375
2026-02-02,Client E,Product 4,30.0,1384
2026-03-30,Client I,Product 4,41.0,4202
2026-01-01,Client H,Product 4,45.0,4215
2026-03-27,Client G,Product 2,17.0,265
2026-01-23,Client F,Product 1,12.0,416
2026-02-27,Client C,Product 3,43.0,3706
2026-02-03,Client B,Product 4,36.0,2290
2026-02-27,Client C,Product 3,5.0,4412
2026-03-19,Client J,Product 2,19.0,4165
2026-03-06,Client A,Product 1,23.0,4405
2026-01-23,Client J,Product 4,25.0,4674
2026-02-18,Client E,Product 1,13.0,3471
2026-03-18,Client D,Product 5,42.0,4371
2026-01-18,Client G,Product 5,8.0,287
2026-01-31,Client A,Product 3,30.0,810
2026-01-06,Client D,Product 3,23.0,3293
2026-03-20,Client J,Product 2,24.0,4728
2026-01-15,Client E,Product 3,35.0,3022
2026-03-30,Client J,Product 3,30.0,455
2026-02-13,Client C,Product 5,38.0,3719
2026-01-05,Client I,Product 2,47.0,3272
2026-01-29,Client A,Product 3,7.0,4724
2026-03-06,Client C,Product 5,26.0,3283
2026-03-03,Client E,Product 5,26.0,3263
2026-01-14,Client G,Product 4,23.0,4613
2026-03-29,Client B,Product 1,26.0,1161
2026-02-08,Client B,Product 4,6.0,2566
2026-01-02,Client F,Product 2,9.0,2132
2026-01-16,Client J,Product 2,20.0,1842
2026-01-01,Client J,Product 5,6.0,3505
2026-02-22,Client E,Product 5,46.0,886
2026-02-01,Client G,Product 3,27.0,1809
2026-01-03,Client E,Product 2,29.0,1050
2026-02-22,Client C,Product 4,40.0,1153
2026-02-23,Client H,Product 2,33.0,985
2026-03-07,Client I,Product 1,35.0,1730
2026-03-22,Client H,Product 4,46.0,1621
2026-01-22,Client J,Product 1,45.0,2923
2026-01-08,Client C,Product 5,45.0,2160
2026-03-24,Client G,Product 3,34.0,660
2026-02-27,Client B,Product 5,39.0,3434
2026-02-26,Client G,Product 1,1.0,1527
2026-03-12,Client G,Product 5,48.0,4684
2026-01-01,Client I,Product 5,19.0,1531
2026-03-10,Client G,Product 3,18.0,773
2026-03-01,Client C,Product 3,15.0,223
2026-01-25,Client F,Product 5,13.0,1744
2026-02-22,Client E,Product 4,49.0,4466
2026-01-20,Client J,Product 4,10.0,183
2026-02-07,Client B,Product 2,32.0,2059
2026-01-02,Client A,Product 1,38.0,3126
2026-03-20,Client E,Product 4,16.0,366
2026-01-27,Client J,Product 5,1.0,731
2026-03-29,Client I,Product 4,9.0,3741
2026-01-30,Client B,Product 2,2.0,756
2026-02-14,Client E,Product 4,41.0,2184
2026-03-28,Client G,Product 3,32.0,2238
2026-01-03,Client D,Product 2,33.0,1865
2026-02-16,Client J,Product 4,1.0,4968
2026-03-18,Client G,Product 1,42.0,1950
2026-02-23,Client D,Product 4,27.0,1207
2026-01-06,Client E,Product 4,14.0,4867
2026-03-06,Client H,Product 1,25.0,2977
2026-01-26,Client I,Product 3,6.0,2199
2026-02-09,Client D,Product 1,5.0,4680
2026-02-02,Client E,Product 2,8.0,2213
2026-02-06,Client D,Product 5,12.0,4199
2026-02-03,Client G,Product 1,8.0,3872
2026-03-16,Client E,Product 5,21.0,701
2026-01-26,Client H,Product 3,46.0,1257
2026-03-05,Client I,Product 3,42.0,4944
2026-01-30,Client I,Product 2,,126
2026-01-20,Client I,Product 4,40.0,4310
2026-03-21,Client G,Product 2,28.0,2773
2026-02-16,Client G,Product 2,26.0,3338
2026-02-25,Client I,Product 3,1.0,730
2026-02-06,Client E,Product 5,47.0,823
2026-01-19,Client E,Product 5,38.0,1106
2026-02-21,Client E,Product 3,42.0,1461
2026-02-08,Client A,Product 4,3.0,1605
2026-02-02,Client H,Product 1,43.0,4808
2026-02-16,Client E,Product 1,25.0,2679
2026-01-25,Client C,Product 2,32.0,1009
2026-02-16,Client A,Product 4,20.0,1052
2026-03-01,Client C,Product 3,15.0,223
2026-02-11,Client I,Product 2,30.0,3071
2026-02-16,Client B,Product 1,35.0,3540
2026-03-21,Client A,Product 5,10.0,2130
2026-01-31,Client A,Product 3,30.0,810
2026-02-15,Client F,Product 3,7.0,3927
2026-01-14,Client I,Product 2,27.0,1549
2026-02-02,Client A,Product 4,31.0,862
2026-03-08,Client G,Product 3,17.0,905
2026-01-30,Client D,Product 1,48.0,2863
2026-01-23,Client E,Product 2,38.0,1994
2026-01-01,Client G,Product 1,25.0,1443
2026-02-06,Client B,Product 1,49.0,4060
2026-03-12,Client C,Product 2,6.0,3880
2026-01-03,Client C,Product 5,26.0,4342
2026-03-05,Client B,Product 2,11.0,1420
2026-02-27,Client G,Product 2,16.0,3321
2026-01-20,Client E,Product 3,21.0,1424
2026-03-15,Client C,Product 3,16.0,3528
2026-02-12,Client G,Product 1,1.0,481
2026-02-06,Client E,Product 5,12.0,3255
2026-02-20,Client B,Product 5,24.0,2631
2026-01-13,Client A,Product 3,36.0,1681
2026-01-22,Client G,Product 4,43.0,3735
2026-02-16,Client H,Product 2,14.0,781
2026-01-18,Client H,Product 4,35.0,2785
2026-02-20,Client F,Product 4,39.0,1341
2026-01-28,Client H,Product 5,4.0,2760
2026-01-16,Client D,Product 4,45.0,4409
2026-03-09,Client E,Product 2,47.0,2613
2026-02-28,Client B,Product 1,19.0,2162
2026-03-14,Client G,Product 4,21.0,2604
2026-02-07,Client B,Product 2,11.0,4946
2026-02-16,Client C,Product 1,11.0,1003
2026-01-17,Client B,Product 1,37.0,4099
2026-02-20,Client D,Product 1,42.0,4407
2026-01-10,Client I,Product 3,5.0,1910
2026-03-04,Client B,Product 4,15.0,4199
2026-03-18,Client D,Product 1,30.0,3194
2026-01-08,Client A,Product 1,23.0,1903
2026-03-04,Client D,Product 4,6.0,2020
2026-03-27,Client C,Product 5,6.0,3894
2026-01-04,Client H,Product 3,24.0,1852
2026-03-18,Client G,Product 3,25.0,1144
2026-01-28,Client F,Product 4,38.0,571
2026-01-08,Client B,Product 1,34.0,3237
2026-01-27,Client A,Product 2,21.0,2255
2026-03-28,Client A,Product 4,21.0,2034
2026-03-13,Client C,Product 5,20.0,1250
2026-01-09,Client H,Product 4,35.0,1427
2026-02-09,Client E,Product 1,31.0,2616
2026-01-31,Client A,Product 4,12.0,2109
2026-02-11,Client E,Product 1,16.0,4310
2026-02-12,Client E,Product 4,38.0,1329
2026-03-19,Client D,Product 2,48.0,3413
2026-01-11,Client C,Product 4,16.0,1901
2026-02-19,Client A,Product 1,45.0,2867
2026-02-06,Client G,Product 1,13.0,1932
2026-01-08,Client D,Product 1,38.0,4722
2026-03-31,Client C,Product 1,45.0,1242
2026-03-20,Client B,Product 4,45.0,1896
2026-02-21,Client G,Product 2,47.0,4992
2026-01-11,Client C,Product 5,7.0,4212
2026-03-08,Client I,Product 4,45.0,1210
2026-03-08,Client I,Product 5,46.0,3830
2026-03-05,Client H,Product 5,48.0,3252
2026-02-14,Client I,Product 2,7.0,3633
2026-03-27,Client H,Product 2,25.0,2303
2026-03-03,Client D,Product 4,40.0,1108
2026-02-03,Client C,Product 5,43.0,220
2026-03-04,Client G,Product 2,45.0,4257
2026-03-24,Client I,Product 3,47.0,2389
2026-01-24,Client G,Product 1,23.0,3672
2026-02-08,Client G,Product 2,15.0,4403
2026-01-25,Client I,Product 4,7.0,4329
2026-01-14,Client B,Product 2,28.0,4961
2026-03-31,Client F,Product 1,48.0,535
2026-02-15,Client D,Product 4,11.0,4593
2026-02-22,Client C,Product 4,38.0,3862
2026-03-17,Client I,Product 3,46.0,1777
2026-03-25,Client C,Product 2,29.0,4856
2026-01-04,Client G,Product 4,22.0,1702
2026-02-09,Client B,Product 1,7.0,4853
2026-03-18,Client G,Product 2,46.0,330
2026-01-23,Client E,Product 2,44.0,3514
2026-02-18,Client F,Product 3,1.0,4282
2026-01-28,Client F,Product 5,3.0,738
2026-01-03,Client H,Product 5,33.0,593
2026-03-10,Client F,Product 5,16.0,1047
2026-03-25,Client I,Product 1,12.0,2848
2026-03-14,Client A,Product 1,11.0,763
2026-02-21,Client I,Product 2,20.0,4166
2026-02-10,Client G,Product 1,48.0,3926
2026-03-30,Client F,Product 1,43.0,1148
2026-02-06,Client D,Product 5,12.0,4199
2026-01-24,Client J,Product 1,40.0,3103
2026-02-22,Client G,Product 3,3.0,994
2026-02-20,Client H,Product 3,3.0,4428
2026-03-26,Client I,Product 5,21.0,4633
2026-03-24,Client C,Product 1,47.0,2324
2026-02-26,Client C,Product 1,32.0,4122
2026-03-12,Client H,Product 5,41.0,3546
2026-02-18,Client B,Product 1,13.0,1541
2026-02-01,Client J,Product 3,25.0,927
2026-02-13,Client H,Product 3,28.0,2520
2026-01-08,Client D,Product 2,44.0,3407
2026-03-18,Client J,Product 4,34.0,4938
2026-03-19,Client G,Product 4,22.0,1386
2026-03-30,Client G,Product 4,24.0,3125
2026-02-26,Client D,Product 4,48.0,1304
2026-02-09,Client C,Product 4,3.0,3250
2026-01-18,Client H,Product 1,40.0,1544
2026-02-11,Client A,Product 2,10.0,3173
2026-01-07,Client D,Product 1,47.0,4502
2026-02-25,Client A,Product 3,34.0,1966
2026-01-15,Client I,Product 5,29.0,1066
2026-03-19,Client H,Product 3,3.0,305
2026-01-27,Client F,Product 1,35.0,4531
2026-01-25,Client F,Product 2,40.0,897
2026-03-06,Client C,Product 1,30.0,1586
2026-03-10,Client C,Product 4,26.0,4158
2026-03-18,Client E,Product 2,3.0,4060
2026-01-06,Client C,Product 1,17.0,3617
2026-01-15,Client A,Product 3,19.0,3147
2026-02-11,Client B,Product 4,27.0,3002
2026-01-17,Client A,Product 3,10.0,3203
2026-03-20,Client J,Product 1,18.0,4151
2026-02-13,Client G,Product 1,11.0,623
2026-03-10,Client B,Product 5,25.0,2918
2026-01-11,Client I,Product 3,2.0,164
2026-01-16,Client F,Product 5,3.0,4560
2026-02-26,Client D,Product 4,43.0,3024
2026-03-08,Client A,Product 2,25.0,1875
2026-02-24,Client F,Product 1,14.0,847
2026-02-01,Client F,Product 4,24.0,3639
2026-03-20,Client I,Product 3,5.0,4826
2026-02-03,Client B,Product 4,9.0,4668
2026-01-02,Client E,Product 5,46.0,3367
2026-02-12,Client B,Product 5,6.0,2939
2026-03-12,Client J,Product 4,7.0,3687
2026-03-05,Client H,Product 3,49.0,3709
2026-01-20,Client F,Product 4,37.0,1045
2026-02-10,Client D,Product 1,18.0,1292
2026-01-14,Client C,Product 3,5.0,619
2026-02-27,Client C,Product 1,19.0,2859
2026-03-24,Client G,Product 2,14.0,3778
2026-01-12,Client H,Product 3,12.0,3666
2026-03-22,Client E,Product 2,10.0,3754
2026-02-22,Client C,Product 4,33.0,2205
2026-02-02,Client G,Product 1,11.0,874
2026-01-06,Client G,Product 2,39.0,3694
2026-03-05,Client J,Product 3,35.0,3753
2026-03-06,Client F,Product 1,9.0,1368
2026-02-28,Client C,Product 5,7.0,2188
2026-01-28,Client F,Product 5,3.0,738
2026-03-31,Client G,Product 3,7.0,480
2026-01-05,Client F,Product 2,16.0,4081
2026-02-21,Client A,Product 4,28.0,3314
2026-01-28,Client D,Product 2,3.0,1369
2026-01-24,Client J,Product 5,45.0,227
2026-01-03,Client H,Product 3,19.0,1349
2026-01-09,Client C,Product 1,10.0,3241
2026-01-18,Client I,Product 3,42.0,1288
2026-01-29,Client C,Product 1,14.0,2096
2026-01-15,Client E,Product 3,13.0,2571
2026-01-26,Client C,Product 2,1.0,3564
2026-01-08,Client B,Product 5,20.0,3562
2026-03-17,Client C,Product 5,44.0,1767
2026-03-01,Client G,Product 3,5.0,2921
2026-02-13,Client D,Product 3,32.0,872
2026-01-09,Client E,Product 4,37.0,291
2026-03-12,Client D,Product 4,7.0,3615
2026-03-18,Client I,Product 1,38.0,1519
2026-03-20,Client D,Product 2,22.0,3709
2026-03-04,Client I,Product 4,24.0,3234
2026-01-12,Client I,Product 1,35.0,1731
2026-03-25,Client J,Product 5,37.0,1475
2026-01-23,Client D,Product 4,45.0,2212
2026-03-26,Client B,Product 1,13.0,1567
2026-02-25,Client B,Product 3,12.0,2701
2026-01-18,Client H,Product 4,4.0,1152
2026-01-02,Client H,Product 4,20.0,2562
2026-03-26,Client E,Product 2,2.0,412
2026-02-28,Client A,Product 3,33.0,1880
2026-01-09,Client G,Product 3,18.0,2657
2026-02-16,Client D,Product 4,37.0,3879
2026-01-13,Client E,Product 5,47.0,2615
2026-03-14,Client G,Product 2,9.0,773
2026-03-19,Client E,Product 3,,4131
2026-03-22,Client H,Product 5,4.0,4618
2026-02-08,Client I,Product 1,38.0,3161
2026-02-26,Client J,Product 3,2.0,2380
2026-03-31,Client B,Product 4,41.0,2026
2026-02-02,Client D,Product 1,,1121
2026-02-20,Client A,Product 3,37.0,3143
2026-03-14,Client B,Product 3,12.0,1548
2026-02-03,Client H,Product 4,13.0,4391
2026-02-02,Client F,Product 1,21.0,835
2026-03-05,Client H,Product 5,48.0,3252
2026-02-22,Client B,Product 2,21.0,2747
2026-02-18,Client I,Product 3,19.0,4600
2026-03-03,Client F,Product 5,34.0,1647
2026-03-09,Client E,Product 5,17.0,2254
2026-01-29,Client A,Product 5,39.0,4092
2026-02-18,Client A,Product 5,48.0,4933
2026-02-10,Client A,Product 4,10.0,1965
2026-02-02,Client A,Product 1,2.0,2744
2026-01-20,Client A,Product 1,22.0,595
2026-03-19,Client G,Product 1,,2764
2026-02-02,Client A,Product 3,35.0,1581
2026-03-02,Client C,Product 1,19.0,3560
2026-01-14,Client C,Product 5,8.0,3884
2026-03-26,Client J,Product 2,43.0,1406
2026-01-13,Client B,Product 5,46.0,4970
2026-03-29,Client F,Product 2,48.0,3743
2026-02-02,Client F,Product 2,18.0,1080
2026-01-04,Client F,Product 3,22.0,1899
2026-02-20,Client C,Product 4,12.0,2598
2026-02-03,Client G,Product 1,26.0,113
2026-02-04,Client H,Product 3,27.0,1210
2026-03-25,Client J,Product 4,,2813
2026-01-23,Client G,Product 2,44.0,3217
2026-02-21,Client B,Product 1,7.0,2364
2026-03-28,Client G,Product 4,47.0,3651
2026-01-06,Client B,Product 4,4.0,3823
2026-01-07,Client J,Product 5,10.0,316
2026-01-15,Client F,Product 4,18.0,783
2026-01-02,Client D,Product 3,49.0,3363
2026-02-21,Client J,Product 2,35.0,2266
2026-03-10,Client B,Product 5,10.0,2910
2026-03-26,Client I,Product 5,48.0,2852
2026-03-24,Client I,Product 1,9.0,3880
2026-01-06,Client B,Product 5,30.0,4244
2026-01-05,Client A,Product 2,21.0,1825
2026-01-01,Client I,Product 1,27.0,2114
2026-01-21,Client B,Product 3,42.0,108
2026-01-12,Client C,Product 1,32.0,1961
2026-02-26,Client H,Product 3,24.0,1629
2026-03-30,Client F,Product 4,12.0,1560
2026-02-18,Client J,Product 4,34.0,4126
2026-01-17,Client J,Product 5,41.0,2247
2026-02-24,Client A,Product 1,8.0,2768
2026-03-15,Client D,Product 1,25.0,3678
2026-02-12,Client J,Product 3,39.0,710
2026-02-11,Client E,Product 1,7.0,4715
2026-03-07,Client B,Product 1,39.0,4165
2026-03-16,Client I,Product 5,6.0,151
2026-01-31,Client C,Product 2,43.0,3097
2026-01-15,Client I,Product 5,47.0,1974
2026-02-09,Client H,Product 2,31.0,3262
2026-01-08,Client J,Product 3,26.0,4730
2026-03-31,Client B,Product 5,4.0,131
2026-03-10,Client C,Product 4,26.0,4158
2026-01-21,Client E,Product 1,29.0,2474
